played_on,opponent,game_title,our_score,their_score,gamertag,player_name,grade_level,role,kills,deaths
2027-01-13,Maple Ridge,Rocket League,3,1,vexcalibur,Devon Whitaker,12,striker,6,3
2027-01-13,Maple Ridge,Rocket League,3,1,static_mango,Rosa Delacroix,11,midfield,4,4
2027-01-13,Maple Ridge,Rocket League,3,1,nightowl99,Jamal Petrov,12,keeper,1,2
2027-01-13,Maple Ridge,Rocket League,3,1,vexcalibur,Devon Whitaker,12,striker,6,3
2027-01-20,Fort Hollow,Rocket League,2,3,vexcalibur,Devon Whitaker,12,striker,5,6
2027-01-20,Fort Hollow,Rocket League,2,3,static_mango,Rosa Delacroix,11,midfield,3,5
2027-01-20,Fort Hollow,Rocket League,2,3,kettlecorn,Ines Bergstrom,11,keeper,0,4
2027-01-27,Cedar Valley,Valorant,13,9,bellwether,Tanvi Srinivasan,12,duelist,21,14
2027-01-27,Cedar Valley,Valorant,13,9,quietstorm,Aiden Nakashima,10,controller,15,12
2027-01-27,Cedar Valley,Valorant,13,9,lowercase,Maya Ostrowski,11,sentinel,13,11
2027-01-27,Cedar Valley,Valorant,13,9,kettlecorn,Ines Bergstrom,11,initiator,11,15
2027-01-27,Cedar Valley,Valorant,13,9,nightowl99,Jamal Petrov,12,duelist,18,16
2027-02-03,Northline,Valorant,11,13,bellwether,Tanvi Srinivasan,12,duelist,19,20
2027-02-03,Northline,Valorant,11,13,quietstorm,Aiden Nakashima,10,controller,14,18
2027-02-03,Northline,Valorant,11,13,lowercase,Maya Ostrowski,11,sentinel,12,17
2027-02-03,Northline,Valorant,11,13,crabrangoon,Owen Falk,10,initiator,9,19
2027-02-03,Northline,Valorant,11,13,static_mango,Rosa Delacroix,11,duelist,16,21
2027-02-10,Brookstone,Rocket League,4,2,vexcalibur,Devon Whitaker,12,striker,7,2
2027-02-10,Brookstone,Rocket League,4,2,nightowl99,Jamal Petrov,12,midfield,5,3
2027-02-10,Brookstone,Rocket League,4,2,crabrangoon,Owen Falk,10,keeper,2,3
2027-02-17,Granite Hills,Valorant,13,7,bellwether,Tanvi Srinivasan,12,duelist,24,10
2027-02-17,Granite Hills,Valorant,13,7,quietstorm,Aiden Nakashima,10,controller,17,11
2027-02-17,Granite Hills,Valorant,13,7,lowercase,Maya Ostrowski,11,sentinel,15,9
2027-02-17,Granite Hills,Valorant,13,7,kettlecorn,Ines Bergstrom,11,initiator,12,13
2027-02-17,Granite Hills,Valorant,13,7,vexcalibur,Devon Whitaker,12,duelist,14,12
2027-02-24,Maple Ridge,Rocket League,5,2,nightowl99,Jamaal Petrov,12,striker,6,1
2027-02-24,Maple Ridge,Rocket League,5,2,crabrangoon,Owen Falk,10,midfield,3,2
2027-02-24,Maple Ridge,Rocket League,5,2,static_mango,Rosa Delacroix,11,keeper,1,3
