checkout_id,uniform_id,member,checked_out,due,returned
C-001,U-101,Devon Whitaker,2027-08-24,2027-11-15,2027-11-14
C-002,U-201,Devon Whitaker,2027-08-24,2027-11-15,2027-11-14
C-003,U-102,Rosa Delacroix,2027-08-24,2027-11-15,
C-004,U-202,Rosa Delacroix,2027-08-24,2027-11-15,
C-005,U-103,Jamal Petrov,2027-08-25,2027-11-15,2027-11-16
C-006,U-203,Jamal Petrov,2027-08-25,2027-11-15,2027-11-16
C-007,U-104,Ines Bergstrom,2027-08-25,2027-11-15,
C-008,U-204,Ines Bergstrom,2027-08-25,2027-11-15,
C-009,U-301,Devon Whitaker,2027-08-26,2027-11-15,2027-11-14
C-010,U-302,Rosa Delacroix,2027-08-26,2027-11-15,
C-011,U-303,Jamal Petrov,2027-08-26,2027-11-15,2027-11-16
C-012,U-105,Aiden Nakashima,2027-08-31,2027-11-15,
C-013,U-401,Aiden Nakashima,2027-08-31,2027-11-15,
C-014,U-101,Maya Ostrowski,2027-09-07,2027-11-15,
C-015,U-999,Maya Ostrowski,2027-09-07,2027-11-15,
C-016,U-201,Owen Falk,2027-09-08,2027-11-15,2027-11-13
C-017,U-202,Owen Falk,2027-09-08,2027-11-15,2027-11-13
C-011,U-303,Tanvi Srinivasan,2027-09-14,2027-11-15,
C-018,U-302,Tanvi Srinivasan,2027-09-14,2027-11-15,
C-019,U-104,Owen Falk,2027-09-21,2027-11-15,
